,Client_ID,ordered_boxes,ordered_volume,date,region,Center_ID,Latitude_CD,Longitude_CD,Latitude_Client,Longitude_Client,cluster_id,Assigned_CD
26248,12237993,60.0833333,4.54229999748,2025-03-01,Centro,AV26,4.596453,-74.148856,4.5677,-74.1511,6,AV26
26249,12237996,91.5,6.9174,2025-03-29,Centro,AV06,4.946467,-73.941175,4.765008018,-74.0305808,0,AV26
26250,12237999,82.9166666,6.26849999496,2025-03-04,Centro,AV50,4.742992,-74.164592,4.73577,-74.0958,0,AV50
26251,12238417,8.933333099999999,0.6753599823599998,2025-03-12,Centro,AV42,5.544456,-73.352553,5.5498,-73.362232,4,AV42
26252,12238478,8.29,0.6267239999999998,2025-03-15,Centro,AV26,4.596453,-74.148856,4.58674,-74.1406,6,AV26
26253,12238492,95.75,7.2387,2025-03-11,Centro,AV26,4.596453,-74.148856,4.54265,-74.1117,6,AV26
26254,12238502,17.25,1.3041,2025-03-08,Centro,AV42,5.544456,-73.352553,5.1970713,-73.1444682,2,AV42
26255,12238551,12.388888900000001,0.93660000084,2025-03-08,Centro,AV26,4.596453,-74.148856,4.587176455,-74.13696743,6,AV26
26256,12238557,49.536666600000004,3.74497199496,2025-03-13,Centro,AV47,4.541264,-74.251706,4.626478178,-74.36697909,8,AV47
26257,12238577,7.0,0.5292,2025-03-07,Centro,AV04,5.807142,-73.006556,5.825027552,-73.0387874,1,AV04
26258,12238630,15.04,1.137024,2025-03-12,Centro,AV47,4.541264,-74.251706,4.57548,-74.2435,6,AV47
26259,12238682,45.25,3.4209,2025-03-12,Centro,AV06,4.946467,-73.941175,4.762680342,-74.0244015,0,AV26
26260,12238735,92.0,6.9552,2025-03-07,Centro,AV04,5.807142,-73.006556,6.32953518,-72.68637056,5,AV04
26261,12238812,28.79,2.176524,2025-03-27,Centro,AV26,4.596453,-74.148856,4.516393981,-74.12063157,6,AV26
26262,12238839,4.0,0.3024,2025-03-11,Centro,AV47,4.541264,-74.251706,4.5827688,-74.19818,6,AV26
26263,12238869,34.22,2.587032,2025-03-29,Centro,AV42,5.544456,-73.352553,5.569584229,-73.37685749,4,AV42
26264,12238884,19.5,1.4742,2025-03-05,Centro,AV04,5.807142,-73.006556,5.70599,-72.9296,1,AV04
26265,12238899,61.7805556,4.67061000336,2025-03-01,Centro,AV26,4.596453,-74.148856,4.586845487,-74.13541032,6,AV26
26266,12238903,63.0,4.7627999999999995,2025-03-21,Centro,AV50,4.742992,-74.164592,4.756442,-74.263435,8,AV50
